Dolphin.ID,time,event,Sex
871,33.16632444,0,Male
872,33.16632444,0,Male
873,33.49486653,1,Male
874,33.49486653,1,Male
875,33.49760438,1,Male
876,33.49760438,1,Male
877,33.49760438,1,Female
878,33.49760438,1,Female
879,33.49760438,1,Male
880,33.74948665,1,Male
881,34.00136893,1,Female
882,34.06160164,1,Male
883,34.16563997,0,Female
884,34.16563997,0,Male
885,34.16563997,0,Female
886,34.49418207,1,Female
887,34.49418207,1,Male
888,34.49418207,1,Female
889,34.49418207,1,Male
890,34.49691992,1,Female
891,34.49691992,1,Male
892,34.49691992,1,Male
893,34.49691992,1,Male
894,34.49691992,1,Female
895,34.49691992,1,Male
896,34.49691992,1,Female
897,34.49691992,1,Female
898,34.49691992,1,Female
899,34.49691992,1,Male
900,34.49691992,1,Female
901,34.49691992,1,Male
902,34.72963723,1,Female
903,35.16495551,0,Female
904,35.16495551,0,Female
905,35.49623546,1,Female
906,35.49623546,1,Male
907,35.49623546,1,Male
908,35.49623546,1,Female
909,35.49623546,1,Female
910,35.49623546,1,Female
911,35.49623546,1,Male
912,35.49623546,1,Male
913,35.49623546,1,Male
914,35.49623546,1,Female
915,35.49623546,1,Female
916,35.49623546,1,Female
917,35.49623546,1,Female
918,35.49623546,1,Female
919,35.49623546,1,Male
920,36.1670089,0,Female
921,36.49555099,1,Male
922,36.49555099,1,Male
923,36.49555099,1,Female
924,36.49555099,1,Female
925,36.49828884,1,Male
926,37.16632444,0,Male
927,37.16632444,0,Female
928,37.16632444,0,Male
929,37.16632444,0,Female
930,37.16632444,0,Male
931,37.16632444,0,Male
932,37.16632444,0,Male
933,37.16632444,0,Male
934,37.49486653,1,Male
935,37.49486653,1,Female
936,37.49760438,1,Female
937,37.49760438,1,Male
938,38.16563997,0,Female
939,38.16563997,0,Male
940,38.16563997,0,Male
941,38.16563997,0,Male
942,38.16563997,0,Female
943,38.49418207,1,Female
944,38.49691992,1,Male
945,38.49691992,1,Female
946,38.49691992,1,Female
947,38.49691992,1,Female
948,38.83367556,1,Female
949,39.16495551,0,Male
950,39.16495551,0,Female
951,39.16495551,0,Male
952,39.16495551,0,Male
953,39.16495551,0,Male
954,39.39493498,1,Female
955,39.49623546,1,Male
956,39.49623546,1,Male
957,39.49623546,1,Female
958,39.49623546,1,Female
959,39.49623546,1,Female
960,39.49623546,1,Male
961,39.51813826,1,Female
962,40,1,Female
963,40.1670089,0,Female
964,40.1670089,0,Female
965,40.49555099,1,Male
966,40.49555099,1,Male
967,40.49555099,1,Male
968,40.49555099,1,Male
969,40.49555099,1,Female
970,40.49828884,1,Male
971,41.16632444,0,Male
972,41.16632444,0,Male
973,41.16632444,0,Male
974,41.49486653,1,Male
975,41.49486653,1,Female
976,41.49486653,1,Female
977,41.49486653,1,Male
978,41.49760438,1,Male
979,42.16563997,0,Female
980,42.16563997,0,Male
981,42.16563997,0,Female
982,42.16563997,0,Male
983,42.30253251,1,Female
984,42.49418207,1,Male
985,42.49691992,1,Male
986,43.16495551,0,Female
987,43.16495551,0,Male
988,43.49623546,1,Female
989,43.49623546,1,Male
990,43.49623546,1,Female
991,43.49623546,1,Female
992,44.1670089,0,Male
993,44.1670089,0,Male
994,44.49555099,1,Female
995,44.49555099,1,Male
996,44.49555099,1,Female
997,44.49555099,1,Male
998,45.16632444,0,Male
999,47.16495551,0,Female
1000,47.49623546,1,Male
1001,48.1670089,0,Male
1002,49.16632444,0,Female
1003,51.49623546,1,Male
